label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	1663.15	-29.26	-120645.73	1663.15	225000.00	1692.42	0.00	225000.00	0.8216	0.00	-99126.82	7081416.99	6856416.99	2015	0.8216	-120645.73	7081416.99	K001	5957603.00	5858476.18	5858476.18
0.00	0.00	682.17	-15.35	-63272.37	682.17	225000.00	697.52	0.00	225000.00	0.8139	0.00	-51499.38	3037276.59	2812276.59	2015	0.8139	-63272.37	3037276.59	K002	2565500.00	2514000.62	2514000.62
0.00	0.00	539.76	-52.07	-214672.83	539.76	225000.00	591.84	0.00	225000.00	0.877	0.00	-188271.84	2450195.30	2225195.30	2015	0.877	-214672.83	2450195.30	K003	2364807.00	2176535.16	2176535.16
0.00	0.00	359.56	-32.20	-132749.12	359.56	225000.00	391.76	0.00	225000.00	0.9202	0.00	-122156.19	1707282.85	1482282.85	2015	0.9202	-132749.12	1707282.85	K005	1711158.00	1589001.81	1589001.81
0.00	0.00	945.96	-37.91	-156293.07	945.96	225000.00	983.87	0.00	225000.00	0.8743	0.00	-136639.58	4124758.11	3899758.11	2015	0.8743	-156293.07	4124758.11	K006	3771012.00	3634372.42	3634372.42
0.00	0.00	1343.51	-3.57	-14729.76	1343.51	225000.00	1347.09	0.00	225000.00	0.8206	0.00	-12087.64	5763700.52	5538700.52	2015	0.8206	-14729.76	5763700.52	K007	4782292.00	4770204.36	4770204.36
0.00	0.00	1085.78	124.90	514895.10	1085.78	225000.00	960.89	0.00	225000.00	0.8466	0.00	435935.53	4701192.14	4476192.14	2015	0.8466	514895.10	4701192.14	K008	3578829.00	4014764.53	4014764.53
0.00	0.00	860.18	38.34	158074.89	860.18	225000.00	821.84	0.00	225000.00	0.8383	0.00	132520.30	3771140.74	3546140.74	2015	0.8383	158074.89	3771140.74	K009	3065347.00	3197867.30	3197867.30
0.00	0.00	1199.94	2.42	9991.56	1199.94	225000.00	1197.52	0.00	225000.00	0.8347	0.00	8340.06	5171803.29	4946803.29	2015	0.8347	9991.56	5171803.29	K010	4345806.00	4354146.06	4354146.06
0.00	0.00	811.29	34.14	140750.76	811.29	225000.00	777.14	0.00	225000.00	0.9499	0.00	133693.35	3569565.49	3344565.49	2015	0.9499	140750.76	3569565.49	K011	3268172.00	3401865.35	3401865.35
0.00	0.00	262.09	19.38	79875.08	262.09	225000.00	242.71	0.00	225000.00	1.0875	0.00	79875.16	1305464.42	1080464.42	2015	1	79875.08	1305464.42	K012	1320089.00	1399964.16	1399964.16
0.00	0.00	623.95	11.15	45957.17	623.95	225000.00	612.81	0.00	225000.00	1.0082	0.00	45957.18	2797282.47	2572282.47	2015	1	45957.17	2797282.47	K013	2772507.00	2818464.18	2818464.18
0.00	0.00	916.45	-49.72	-204986.78	916.45	225000.00	966.17	0.00	225000.00	0.81	0.00	-166039.27	4003095.17	3778095.17	2015	0.81	-204986.78	4003095.17	K014	3451296.00	3285256.73	3285256.73
0.00	0.00	520.58	-24.44	-100775.44	520.58	225000.00	545.02	0.00	225000.00	0.8713	0.00	-87809.62	2371113.82	2146113.82	2015	0.8713	-100775.44	2371113.82	K015	2182803.00	2094993.38	2094993.38
0.00	0.00	293.35	-15.21	-62699.04	293.35	225000.00	308.56	0.00	225000.00	0.8175	0.00	-51258.76	1434352.52	1209352.52	2015	0.8175	-62699.04	1434352.52	K016	1264949.00	1213690.24	1213690.24
0.00	0.00	438.20	-52.41	-216058.45	438.2	225000.00	490.61	0.00	225000.00	0.8634	0.00	-186552.55	2031503.98	1806503.98	2015	0.8634	-216058.45	2031503.98	K017	1971352.00	1784799.45	1784799.45
0.00	0.00	254.82	2.53	10428.28	254.82	225000.00	252.29	0.00	225000.00	0.8284	0.00	8638.43	1275505.33	1050505.33	2015	0.8284	10428.28	1275505.33	K018	1086564.00	1095202.43	1095202.43
0.00	0.00	87.02	-77.33	-318812.64	87.02	225000.00	164.36	0.00	225000.00	0.81	0.00	-258238.18	583760.25	358760.25	2015	0.81	-318812.64	583760.25	K019	773834.00	515595.82	515595.82
0.00	0.00	421.64	40.63	167484.64	421.64	225000.00	381.02	0.00	225000.00	0.947	0.00	158615.24	1963245.15	1738245.15	2015	0.947	167484.64	1963245.15	K020	1712579.00	1871194.24	1871194.24
0.00	0.00	788.98	19.76	81463.83	788.98	225000.00	769.22	0.00	225000.00	0.834	0.00	67942.73	3477600.51	3252600.51	2015	0.834	81463.83	3477600.51	K021	2869802.00	2937744.73	2937744.73
0.00	0.00	338.12	4.43	18249.78	338.12	225000.00	333.69	0.00	225000.00	0.81	0.00	14782.33	1618904.38	1393904.38	2015	0.81	18249.78	1618904.38	K023	1339281.00	1354063.33	1354063.33
0.00	0.00	1028.12	-0.03	-116.68	1028.12	225000.00	1028.14	0.00	225000.00	0.81	0.00	-94.51	4463456.86	4238456.86	2015	0.81	-116.68	4463456.86	K024	3658244.00	3658149.49	3658149.49
0.00	0.00	270.77	-19.71	-81268.37	270.77	225000.00	290.48	0.00	225000.00	1.8194	0.00	-81268.37	1341260.29	1116260.29	2015	1	-81268.37	1341260.29	K025	2337150.00	2255881.63	2255881.63
0.00	0.00	299.08	-24.72	-101916.04	299.08	225000.00	323.81	0.00	225000.00	0.865	0.00	-88156.88	1457990.85	1232990.85	2015	0.865	-101916.04	1457990.85	K026	1379688.00	1291531.12	1291531.12
0.00	0.00	279.99	-16.37	-67493.50	279.99	225000.00	296.36	0.00	225000.00	1.3134	0.00	-67493.55	1379260.95	1154260.95	2015	1	-67493.50	1379260.95	K028	1808511.00	1741017.45	1741017.45
0.00	0.00	940.88	55.24	227734.74	940.88	225000.00	885.64	0.00	225000.00	0.8369	0.00	190593.23	4103822.53	3878822.53	2015	0.8369	227734.74	4103822.53	K029	3280628.00	3471221.23	3471221.23
0.00	0.00	835.20	151.33	623856.22	835.2	225000.00	683.87	0.00	225000.00	0.9414	0.00	587292.75	3668141.90	3443141.90	2015	0.9414	623856.22	3668141.90	K030	2879051.00	3466343.75	3466343.75
