label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	4391.63	221.16	911743.13	4391.63	225000.00	4170.47	0.00	225000.00	0.8422	0.00	767840.59	18329685.43	18104685.43	2015	0.8422	911743.13	18329685.43	Q495	14704340.00	15472180.59	15472180.59
0.00	0.00	4110.19	25.51	105181.48	4110.19	225000.00	4084.68	0.00	225000.00	0.846	0.00	88984.96	17169452.20	16944452.20	2015	0.846	105181.48	17169452.20	K425	14471253.00	14560237.96	14560237.96
0.00	0.00	4588.03	91.73	378150.51	4588.03	225000.00	4496.30	0.00	225000.00	0.8744	0.00	330642.28	19139369.06	18914369.06	2015	0.8744	378150.51	19139369.06	K405	16432456.00	16763098.28	16763098.28
0.00	0.00	3952.08	147.51	608122.05	3952.08	225000.00	3804.57	0.00	225000.00	0.8156	0.00	496009.08	16517629.31	16292629.31	2015	0.8156	608122.05	16517629.31	R440	13017922.00	13513931.08	13513931.08
0.00	0.00	3046.23	56.69	233718.53	3046.23	225000.00	2989.54	0.00	225000.00	0.8567	0.00	200218.75	12783226.44	12558226.44	2015	0.8567	233718.53	12783226.44	Q019	10782989.00	10983207.75	10983207.75
0.00	0.00	6991.62	18.44	76006.95	6991.62	225000.00	6973.18	0.00	225000.00	0.8737	0.00	66408.64	29048257.41	28823257.41	2015	0.8737	76006.95	29048257.41	K430	25341987.00	25408395.64	25408395.64
0.00	0.00	5282.13	-8.50	-35056.32	5282.13	225000.00	5290.63	0.00	225000.00	0.8596	0.00	-30133.16	22000820.31	21775820.31	2015	0.8596	-35056.32	22000820.31	K525	18972850.00	18942716.84	18942716.84
0.00	0.00	2951.18	-318.16	-1311610.08	2951.18	225000.00	3269.34	0.00	225000.00	0.8197	0.00	-1075131.56	12391382.78	12166382.78	2015	0.8197	-1311610.08	12391382.78	Q475	11272960.00	10197828.44	10197828.44
0.00	0.00	3826.11	29.65	122222.31	3826.11	225000.00	3796.46	0.00	225000.00	0.9084	0.00	111021.29	15998294.03	15773294.03	2015	0.9084	122222.31	15998294.03	M485	14441736.00	14552757.29	14552757.29
0.00	0.00	556.34	19.67	81091.63	556.34	225000.00	536.67	0.00	225000.00	1.0033	0.00	81091.67	2518538.92	2293538.92	2015	1	81091.63	2518538.92	M432	2445094.00	2526185.67	2526185.67
