year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2006	BRONX	1143	7632	Not SWD	13647	2498	73.3	669	2374	17.4	55.9	18.3	3	8.4	10006
2006	BRONX	919	986	SWD	2798	759	40	638	134	4.8	35.2	27.1	3	32.8	1120
2007	BRONX	512	7783	Not SWD	13194	1815	82.4	680	3084	23.4	59	13.8	3	3.9	10867
2007	BRONX	733	1213	SWD	2995	825	48	647	224	7.5	40.5	27.5	3	24.5	1437
2008	BRONX	223	8837	Not SWD	12603	1219	88.6	682	2324	18.4	70.1	9.7	3	1.8	11161
2008	BRONX	447	1610	SWD	3033	842	57.5	654	134	4.4	53.1	27.8	3	14.7	1744
2009	BRONX	73	9286	Not SWD	12665	814	93	686	2492	19.7	73.3	6.4	3	0.6	11778
2009	BRONX	185	2009	SWD	3144	752	70.2	663	198	6.3	63.9	23.9	3	5.9	2207
2010	BRONX	1400	4013	Not SWD	12458	4953	49	687	2092	16.8	32.2	39.8	3	11.2	6105
2010	BRONX	1238	616	SWD	3408	1384	23.1	669	170	5	18.1	40.6	3	36.3	786
2011	BRONX	1452	5083	Not SWD	12524	5187	47	681	802	6.4	40.6	41.4	3	11.6	5885
2011	BRONX	1114	670	SWD	3296	1441	22.5	668	71	2.2	20.3	43.7	3	33.8	741
2012	BRONX	1544	5246	Not SWD	12695	5001	48.4	683	904	7.1	41.3	39.4	3	12.2	6150
2012	BRONX	1147	725	SWD	3368	1432	23.4	668	64	1.9	21.5	42.5	3	34.1	789
2006	BRONX	1122	6899	Not SWD	12963	3054	67.8	665	1888	14.6	53.2	23.6	4	8.7	8787
2006	BRONX	1090	803	SWD	2835	871	30.8	627	71	2.5	28.3	30.7	4	38.4	874
2007	BRONX	779	7139	Not SWD	12792	2801	72	669	2073	16.2	55.8	21.9	4	6.1	9212
2007	BRONX	1127	1063	SWD	3274	974	35.8	634	110	3.4	32.5	29.7	4	34.4	1173
2008	BRONX	527	7661	Not SWD	12426	2000	79.7	674	2238	18	61.7	16.1	4	4.2	9899
2008	BRONX	877	1349	SWD	3319	943	45.2	642	150	4.5	40.6	28.4	4	26.4	1499
2009	BRONX	346	7043	Not SWD	12130	1331	86.2	685	3410	28.1	58.1	11	4	2.9	10453
2009	BRONX	685	1588	SWD	3401	857	54.7	650	271	8	46.7	25.2	4	20.1	1859
2010	BRONX	698	4533	Not SWD	12442	5170	52.8	679	2041	16.4	36.4	41.6	4	5.6	6574
2010	BRONX	826	699	SWD	3464	1810	23.9	655	129	3.7	20.2	52.3	4	23.8	828
2011	BRONX	577	5008	Not SWD	12294	4633	57.6	681	2076	16.9	40.7	37.7	4	4.7	7084
2011	BRONX	954	792	SWD	3618	1766	24.8	654	106	2.9	21.9	48.8	4	26.4	898
2012	BRONX	613	4786	Not SWD	11941	4149	60.1	683	2393	20	40.1	34.7	4	5.1	7179
2012	BRONX	839	780	SWD	3432	1603	28.8	657	210	6.1	22.7	46.7	4	24.4	990
2006	BRONX	1735	6129	Not SWD	13575	4557	53.7	652	1154	8.5	45.1	33.6	5	12.8	7283
2006	BRONX	1240	569	SWD	2818	983	21.1	621	26	0.9	20.2	34.9	5	44	595
2007	BRONX	849	6979	Not SWD	13010	3620	65.6	663	1562	12	53.6	27.8	5	6.5	8541
2007	BRONX	1111	823	SWD	3250	1261	27	628	55	1.7	25.3	38.8	5	34.2	878
2008	BRONX	441	7611	Not SWD	12306	2246	78.2	671	2008	16.3	61.8	18.3	5	3.6	9619
2008	BRONX	795	1346	SWD	3456	1199	42.3	639	116	3.4	38.9	34.7	5	23	1462
2009	BRONX	216	7063	Not SWD	11977	1498	85.7	680	3200	26.7	59	12.5	5	1.8	10263
2009	BRONX	448	1727	SWD	3522	1094	56.2	651	253	7.2	49	31.1	5	12.7	1980
2010	BRONX	786	4617	Not SWD	12034	4615	55.1	679	2016	16.8	38.4	38.3	5	6.5	6633
2010	BRONX	933	714	SWD	3486	1711	24.2	653	128	3.7	20.5	49.1	5	26.8	842
2011	BRONX	692	5250	Not SWD	12138	4363	58.4	681	1833	15.1	43.3	35.9	5	5.7	7083
