year,borough,num_level_1,num_level_3,demographic,number_tested,num_level_2,pct_level_3_and_4,mean_scale_score,num_level_4,pct_level_4,pct_level_3,pct_level_2,grade,pct_level_1,num_level_3_and_4,cluster,c-1,c-2,c-3,c-4,dist
2011,MANHATTAN,326,463,SWD,1655,740,35.6,663.0,126,7.6,28.0,44.7,5,19.7,589,0,599.849673203,1090.77777778,1267.13398693,513.029411765,997.227119266
2011,MANHATTAN,326,446,SWD,1691,750,36.4,665.0,169,10.0,26.4,44.4,4,19.3,615,0,599.849673203,1090.77777778,1267.13398693,513.029411765,991.836880736
2010,MANHATTAN,359,429,SWD,1740,815,32.5,661.0,137,7.9,24.7,46.8,4,20.6,566,0,599.849673203,1090.77777778,1267.13398693,513.029411765,988.902748684
2011,BRONX,954,792,SWD,3618,1766,24.8,654.0,106,2.9,21.9,48.8,4,26.4,898,0,599.849673203,1090.77777778,1267.13398693,513.029411765,986.292426681
2012,STATEN ISLAND,108,1204,Not SWD,3279,699,75.4,687.0,1268,38.7,36.7,21.3,7,3.3,2472,0,599.849673203,1090.77777778,1267.13398693,513.029411765,984.567121935
2008,MANHATTAN,160,865,SWD,1554,419,62.7,660.0,110,7.1,55.7,27.0,3,10.3,975,0,599.849673203,1090.77777778,1267.13398693,513.029411765,984.325945977
2011,STATEN ISLAND,91,1252,Not SWD,3346,734,75.3,686.0,1269,37.9,37.4,21.9,7,2.7,2521,0,599.849673203,1090.77777778,1267.13398693,513.029411765,978.743551944
2012,BROOKLYN,1043,805,SWD,3858,1776,26.9,652.0,234,6.1,20.9,46.0,6,27.0,1039,0,599.849673203,1090.77777778,1267.13398693,513.029411765,978.435966465
2010,STATEN ISLAND,65,1503,Not SWD,3463,704,77.8,696.0,1191,34.4,43.4,20.3,5,1.9,2694,0,599.849673203,1090.77777778,1267.13398693,513.029411765,975.160559571
2010,BRONX,933,714,SWD,3486,1711,24.2,653.0,128,3.7,20.5,49.1,5,26.8,842,0,599.849673203,1090.77777778,1267.13398693,513.029411765,974.612538706
